N,AMO.1206.80.121,AMORE                                                       ,Modern                                                           ,Amore is a range of bright reds and yellows. Superb quality with a beautiful finish; this range is a range you will simply fall in love with.                                                                                                             ,Heat set polypropylene frise; machine made                                                                                                                                                                                                                ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Turkey     ,Heat set polypropylene frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,4,120cm x 180cm        120,2.55,275,20,220,AMO_1206_80_V,AMO_1206_80_S,AMO_1206_80_L, 
N,AMO.1581.10.280,AMORE                                                       ,Modern                                                           ,Amore is a range of bright reds and yellows. Superb quality with a beautiful finish; this range is a range you will simply fall in love with.                                                                                                             ,Heat set polypropylene frise; machine made                                                                                                                                                                                                                ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                              ,                                                                                                                                                                                                                                                          ,Turkey     ,Heat set polypropylene frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,2,280cm x 380cm        280,2.55,1355,20,1084,AMO_1581_10_V,AMO_1581_10_S,AMO_1581_10_L, 
N,BER.1003.80.120,BERLIN                                                      ,Modern                                                           ,Inspired by the world renowned street art of Berlin; this range is modern; vibrant and eye catching. If you want to brighten up your loungeroom this rug centre piece will be your hero.                                                                  ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant coulour pallete; colour fast; antistatic and easy to clean.                                                                                                          ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,4,120cm x 170cm        120,1.7,195,20,156,BER_1003_80_V,BER_1003_80_S,BER_1003_80_L, 
N,BER.1003.80.158,BERLIN                                                      ,Modern                                                           ,Inspired by the world renowned street art of Berlin; this range is modern; vibrant and eye catching. If you want to brighten up your loungeroom this rug centre piece will be your hero.                                                                  ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant coulour pallete; colour fast; antistatic and easy to clean.                                                                                                          ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,6,160cm x 235cm        160,1.7,355,20,284,BER_1003_80_V,BER_1003_80_S,BER_1003_80_L, 
N,BER.1003.80.215,BERLIN                                                      ,Modern                                                           ,Inspired by the world renowned street art of Berlin; this range is modern; vibrant and eye catching. If you want to brighten up your loungeroom this rug centre piece will be your hero.                                                                  ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant coulour pallete; colour fast; antistatic and easy to clean.                                                                                                          ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,6,200cm x 285cm        200,1.7,540,20,432,BER_1003_80_V,BER_1003_80_S,BER_1003_80_L, 
N,BER.1003.80.243,BERLIN                                                      ,Modern                                                           ,Inspired by the world renowned street art of Berlin; this range is modern; vibrant and eye catching. If you want to brighten up your loungeroom this rug centre piece will be your hero.                                                                  ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant coulour pallete; colour fast; antistatic and easy to clean.                                                                                                          ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,2,240cm x 340cm        240,1.7,775,20,620,BER_1003_80_V,BER_1003_80_S,BER_1003_80_L, 
N,BER.1003.80.280,BERLIN                                                      ,Modern                                                           ,Inspired by the world renowned street art of Berlin; this range is modern; vibrant and eye catching. If you want to brighten up your loungeroom this rug centre piece will be your hero.                                                                  ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant coulour pallete; colour fast; antistatic and easy to clean.                                                                                                          ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,2,280cm x 380cm        280,1.7,1010,20,808,BER_1003_80_V,BER_1003_80_S,BER_1003_80_L, 
N,BER.1021.80.120,BERLIN                                                      ,Modern                                                           ,Inspired by the world renowned street art of Berlin; this range is modern; vibrant and eye catching. If you want to brighten up your loungeroom this rug centre piece will be your hero.                                                                  ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant coulour pallete; colour fast; antistatic and easy to clean.                                                                                                          ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,6,120cm x 170cm        120,1.7,195,20,156,BER_1021_80_V,BER_1021_80_S,BER_1021_80_L, 
N,BER.4444.80.158,BERLIN                                                      ,Modern                                                           ,Inspired by the world renowned street art of Berlin; this range is modern; vibrant and eye catching. If you want to brighten up your loungeroom this rug centre piece will be your hero.                                                                  ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant coulour pallete; colour fast; antistatic and easy to clean.                                                                                                          ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,7,160cm x 235cm        160,1.7,355,20,284,BER_4444_80_V,BER_4444_80_S,BER_4444_80_L, 
N,BER.4444.80.215,BERLIN                                                      ,Modern                                                           ,Inspired by the world renowned street art of Berlin; this range is modern; vibrant and eye catching. If you want to brighten up your loungeroom this rug centre piece will be your hero.                                                                  ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant coulour pallete; colour fast; antistatic and easy to clean.                                                                                                          ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,5,200cm x 285cm        200,1.7,540,20,432,BER_4444_80_V,BER_4444_80_S,BER_4444_80_L, 
N,BER.4444.80.243,BERLIN                                                      ,Modern                                                           ,Inspired by the world renowned street art of Berlin; this range is modern; vibrant and eye catching. If you want to brighten up your loungeroom this rug centre piece will be your hero.                                                                  ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant coulour pallete; colour fast; antistatic and easy to clean.                                                                                                          ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,1,240cm x 340cm        240,1.7,775,20,620,BER_4444_80_V,BER_4444_80_S,BER_4444_80_L, 
N,BER.4444.80.280,BERLIN                                                      ,Modern                                                           ,Inspired by the world renowned street art of Berlin; this range is modern; vibrant and eye catching. If you want to brighten up your loungeroom this rug centre piece will be your hero.                                                                  ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant coulour pallete; colour fast; antistatic and easy to clean.                                                                                                          ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,3,280cm x 380cm        280,1.7,1010,20,808,BER_4444_80_V,BER_4444_80_S,BER_4444_80_L, 
N,BER.5996.10.120,BERLIN                                                      ,Modern                                                           ,Inspired by the world renowned street art of Berlin; this range is modern; vibrant and eye catching. If you want to brighten up your loungeroom this rug centre piece will be your hero.                                                                  ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant coulour pallete; colour fast; antistatic and easy to clean.                                                                                                          ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,1,120cm x 170cm        120,1.7,195,20,156,BER_5996_10_V,BER_5996_10_S,BER_5996_10_L, 
N,BER.5996.10.158,BERLIN                                                      ,Modern                                                           ,Inspired by the world renowned street art of Berlin; this range is modern; vibrant and eye catching. If you want to brighten up your loungeroom this rug centre piece will be your hero.                                                                  ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant coulour pallete; colour fast; antistatic and easy to clean.                                                                                                          ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,6,160cm x 235cm        160,1.7,355,20,284,BER_5996_10_V,BER_5996_10_S,BER_5996_10_L, 
N,BER.8022.80.215,BERLIN                                                      ,Modern                                                           ,Inspired by the world renowned street art of Berlin; this range is modern; vibrant and eye catching. If you want to brighten up your loungeroom this rug centre piece will be your hero.                                                                  ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant coulour pallete; colour fast; antistatic and easy to clean.                                                                                                          ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,6,200cm x 285cm        200,1.7,540,20,432,BER_8022_80_V,BER_8022_80_S,BER_8022_80_L, 
N,BER.8022.80.243,BERLIN                                                      ,Modern                                                           ,Inspired by the world renowned street art of Berlin; this range is modern; vibrant and eye catching. If you want to brighten up your loungeroom this rug centre piece will be your hero.                                                                  ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant coulour pallete; colour fast; antistatic and easy to clean.                                                                                                          ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,4,240cm x 340cm        240,1.7,775,20,620,BER_8022_80_V,BER_8022_80_S,BER_8022_80_L, 
N,BER.8022.80.280,BERLIN                                                      ,Modern                                                           ,Inspired by the world renowned street art of Berlin; this range is modern; vibrant and eye catching. If you want to brighten up your loungeroom this rug centre piece will be your hero.                                                                  ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,Non-shedding; highly stain resistant; durable; tight weave; soft under foot; vibrant coulour pallete; colour fast; antistatic and easy to clean.                                                                                                          ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight.                                                                      ,3,280cm x 380cm        280,1.7,1010,20,808,BER_8022_80_V,BER_8022_80_S,BER_8022_80_L, 
N,BLM.1001.05.120,BLOOM 2                                                     ,Shag                                                             ,Bloom2 is very luxurious to touch; and amazing to walk and sit on. This is a very dense rug which comes in all the latest fashion colours and designs.                                                                                                    ,Polyester and viscose; tufted                                                                                                                                                                                                                             ,Non-shedding; every rug is unique; very thick dense soft pile; vibrant colours; antistatic and easy to clean.                                                                                                                                             ,                                                                                                                                                                                                                                                          ,CHINA      ,55% Polyester; 45% Viscose                                       ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,HAND TUFTED         ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Do not pull at fibres. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight. Loose fibres maybe present.                   ,1,120cm x 170cm        120,3.2,299,20,239.2,BLM_1001_05_V,BLM_1001_05_S,BLM_1001_05_L, 
N,BLM.1001.05.201,BLOOM 2                                                     ,Shag                                                             ,Bloom2 is very luxurious to touch; and amazing to walk and sit on. This is a very dense rug which comes in all the latest fashion colours and designs.                                                                                                    ,Polyester and viscose; tufted                                                                                                                                                                                                                             ,Non-shedding; every rug is unique; very thick dense soft pile; vibrant colours; antistatic and easy to clean.                                                                                                                                             ,                                                                                                                                                                                                                                                          ,CHINA      ,55% Polyester; 45% Viscose                                       ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,HAND TUFTED         ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Do not pull at fibres. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight. Loose fibres maybe present.                   ,1,200cm x 290cm        200,3.2,859,20,687.2,BLM_1001_05_V,BLM_1001_05_S,BLM_1001_05_L, 
N,BLM.1944.45.201,BLOOM 2                                                     ,Shag                                                             ,Bloom2 is very luxurious to touch; and amazing to walk and sit on. This is a very dense rug which comes in all the latest fashion colours and designs.                                                                                                    ,Polyester and viscose; tufted                                                                                                                                                                                                                             ,Non-shedding; every rug is unique; very thick dense soft pile; vibrant colours; antistatic and easy to clean.                                                                                                                                             ,                                                                                                                                                                                                                                                          ,CHINA      ,55% Polyester; 45% Viscose                                       ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,HAND TUFTED         ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Do not pull at fibres. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight. Loose fibres maybe present.                   ,3,200cm x 290cm        200,3.2,859,20,687.2,BLM_1944_45_V,BLM_1944_45_S,BLM_1944_45_L, 
N,BLM.1973.14.243,BLOOM 2                                                     ,Shag                                                             ,Bloom2 is very luxurious to touch; and amazing to walk and sit on. This is a very dense rug which comes in all the latest fashion colours and designs.                                                                                                    ,Polyester and viscose; tufted                                                                                                                                                                                                                             ,Non-shedding; every rug is unique; very thick dense soft pile; vibrant colours; antistatic and easy to clean.                                                                                                                                             ,                                                                                                                                                                                                                                                          ,CHINA      ,55% Polyester; 45% Viscose                                       ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,HAND TUFTED         ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Do not pull at fibres. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight. Loose fibres maybe present.                   ,1,240cm x 340cm        240,3.2,1199,20,959.2,BLM_1973_14_V,BLM_1973_14_S,BLM_1973_14_L, 
N,BLM.1975.45.160,BLOOM 2                                                     ,Shag                                                             ,Bloom2 is very luxurious to touch; and amazing to walk and sit on. This is a very dense rug which comes in all the latest fashion colours and designs.                                                                                                    ,Polyester and viscose; tufted                                                                                                                                                                                                                             ,Non-shedding; every rug is unique; very thick dense soft pile; vibrant colours; antistatic and easy to clean.                                                                                                                                             ,                                                                                                                                                                                                                                                          ,CHINA      ,55% Polyester; 45% Viscose                                       ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,HAND TUFTED         ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Do not pull at fibres. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight. Loose fibres maybe present.                   ,1,160cm x 230cm        160,3.2,549,20,439.2,BLM_1975_45_V,BLM_1975_45_S,BLM_1975_45_L, 
N,BLM.1975.45.201,BLOOM 2                                                     ,Shag                                                             ,Bloom2 is very luxurious to touch; and amazing to walk and sit on. This is a very dense rug which comes in all the latest fashion colours and designs.                                                                                                    ,Polyester and viscose; tufted                                                                                                                                                                                                                             ,Non-shedding; every rug is unique; very thick dense soft pile; vibrant colours; antistatic and easy to clean.                                                                                                                                             ,                                                                                                                                                                                                                                                          ,CHINA      ,55% Polyester; 45% Viscose                                       ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,HAND TUFTED         ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Do not pull at fibres. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight. Loose fibres maybe present.                   ,4,200cm x 290cm        200,3.2,859,20,687.2,BLM_1975_45_V,BLM_1975_45_S,BLM_1975_45_L, 
N,BLM.1975.45.243,BLOOM 2                                                     ,Shag                                                             ,Bloom2 is very luxurious to touch; and amazing to walk and sit on. This is a very dense rug which comes in all the latest fashion colours and designs.                                                                                                    ,Polyester and viscose; tufted                                                                                                                                                                                                                             ,Non-shedding; every rug is unique; very thick dense soft pile; vibrant colours; antistatic and easy to clean.                                                                                                                                             ,                                                                                                                                                                                                                                                          ,CHINA      ,55% Polyester; 45% Viscose                                       ,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,HAND TUFTED         ,Regular vacuuming required. Do not use power or rotary head vacuum cleaners. Do not pull at fibres. Professional cleaning recommended. Any spills should be blotted up immediately. Keep out of direct sunlight. Loose fibres maybe present.                   ,1,240cm x 340cm        240,3.2,1199,20,959.2,BLM_1975_45_V,BLM_1975_45_S,BLM_1975_45_L, 
